Color Name, Hex Code,R,G,B,H,S,V,Name Code
sickly yellow,#d0e429,208,228,41,66.41711229946524,82.01754385964912,89.41176470588236,22233546574704030199
sunny yellow,#fff917,255,249,23,58.44827586206897,90.98039215686276,100.0,708699907826266615
azul,#1d5dec,29,93,236,221.44927536231884,87.71186440677965,92.54901960784314,60076
darkgreen,#054907,5,73,7,121.76470588235291,93.15068493150686,28.627450980392155,4452110636206
green/yellow,#b5ce08,181,206,8,67.57575757575758,96.11650485436894,80.7843137254902,272649712041341431
lichen,#8fb67b,143,182,123,99.66101694915254,32.417582417582416,71.37254901960785,412197038
light light green,#c8ffb0,200,255,176,101.77215189873418,30.980392156862745,100.0,14855703664521820669285550
pale gold,#fdde6c,253,222,108,47.17241379310345,57.31225296442687,99.2156862745098,17639630159236
sun yellow,#ffdf22,255,223,34,51.31221719457013,86.66666666666667,100.0,692106906972663
tan green,#a9be70,169,190,112,76.15384615384616,41.05263157894737,74.50980392156863,22040639247534
burple,#6832e3,104,50,227,258.3050847457627,77.97356828193833,89.01960784313725,89735557
butterscotch,#fdb147,253,177,71,34.94505494505494,71.93675889328063,99.2156862745098,96427361523191912
toupe,#c7ac7d,199,172,125,38.10810810810812,37.18592964824121,78.03921568627452,21485061
dark cream,#fff39a,255,243,154,52.87128712871287,39.6078431372549,100.0,142468296807469
indian red,#850e04,133,14,4,4.651162790697675,96.99248120300751,52.156862745098046,332199663454372
light lavendar,#efc0fe,239,192,254,285.48387096774195,24.40944881889764,99.6078431372549,453360097175803465778
poison green,#40fd14,64,253,20,108.6695278969957,92.09486166007903,99.2156862745098,593687332418819246
baby puke green,#b6c406,182,196,6,64.42105263157895,96.93877551020408,76.86274509803923,2401317655938172785838
bright yellow green,#9dff00,157,255,0,83.05882352941177,100.0,100.0,3183376353665518515730846894
charcoal grey,#3c4142,60,65,66,190.00000000000009,9.0909090909091,25.882352941176475,3748757924015753401
squash,#f2ab15,242,171,21,40.723981900452486,91.32231404958677,94.90196078431372,656049768
cinnamon,#ac4f06,172,79,6,26.385542168674696,96.51162790697674,67.45098039215686,113227380206
light pea green,#c4fe82,196,254,130,88.06451612903226,48.81889763779528,99.6078431372549,14507523114139479774382
radioactive green,#2cfa1f,44,250,31,116.43835616438356,87.6,98.0392156862745,21803515426745889909707950
raw sienna,#9a6200,154,98,0,38.18181818181819,100.0,60.3921568627451,635241342613953
baby purple,#ca9bf7,202,155,247,270.6521739130435,37.246963562753045,96.8627450980392,2290074974241157
cocoa,#875f42,135,95,66,25.217391304347824,51.11111111111111,52.94117647058824,3640801
light royal blue,#3a2efe,58,46,254,243.46153846153845,81.88976377952756,99.6078431372549,464240739734620888707749
orangeish,#fd8d49,253,141,73,22.666666666666668,71.14624505928853,99.2156862745098,17112700724840
rust brown,#8b3103,139,49,3,20.29411764705883,97.84172661870504,54.50980392156863,657083760983790
sand brown,#cba560,203,165,96,38.69158878504674,52.70935960591133,79.6078431372549,670088921956078
swamp,#698339,105,131,57,81.08108108108108,56.48854961832061,51.37254901960784,20678064
tealish green,#0cdc73,12,220,115,149.71153846153845,94.54545454545456,86.27450980392157,23240132747647849646
burnt siena,#b75203,183,82,3,26.33333333333333,98.36065573770492,71.76470588235294,3010966374880705
camo,#7f8f4e,127,143,78,74.76923076923077,45.45454545454545,56.07843137254902,99759
dusk blue,#26538d,38,83,141,213.7864077669903,73.04964539007092,55.294117647058826,5140402746021
fern,#63a950,99,169,80,107.19101123595505,52.66272189349112,66.27450980392156,202318
old rose,#c87f89,200,127,137,351.7808219178082,36.5,78.43137254901961,528447258213
pale light green,#b1fc99,177,252,153,105.45454545454544,39.28571428571429,98.82352941176472,606093082592686810666158
peachy pink,#ff9a8a,255,154,138,8.205128205128204,45.88235294117647,100.0,18191532421555659
rosy pink,#f6688e,246,104,142,343.943661971831,57.72357723577236,96.47058823529412,20327877322187
light bluish green,#76fda8,118,253,168,142.22222222222223,53.359683794466406,99.2156862745098,475382516908281614447482030
light bright green,#53fe5c,83,254,92,123.15789473684212,67.32283464566929,99.6078431372549,475382516914612237327996078
light neon green,#4efd54,78,253,84,122.05714285714284,69.1699604743083,99.2156862745098,464240739582559225713838
light seafoam,#a0febf,160,254,191,139.7872340425532,37.00787401574803,99.6078431372549,14167503044372282413
tiffany blue,#7bf2da,123,242,218,167.89915966386553,49.17355371900826,94.90196078431372,730926793105683109
washed out green,#bcf5a6,188,245,166,103.29113924050633,32.244897959183675,96.07843137254902,870806409835922551542958
browny orange,#ca6b02,202,107,2,31.5,99.009900990099,79.2156862745098,2972075379606468837
nice blue,#107ab0,16,122,176,200.25,90.9090909090909,69.01960784313725,15705820967589
sapphire,#2138ab,33,56,171,230.0,80.7017543859649,67.05882352941175,654462690885
greyish teal,#719f91,113,159,145,161.7391304347826,28.9308176100629,62.35294117647059,272671517046346796
orangey yellow,#fdb915,253,185,21,42.41379310344827,91.699604743083,99.2156862745098,574206953370137539063
parchment,#fefcaf,254,252,175,58.481012658227854,31.10236220472441,99.6078431372549,17645982619092
straw,#fcf679,252,246,121,57.25190839694656,51.98412698412699,98.82352941176472,20596791
very dark brown,#1d0200,29,2,0,4.137931034482759,100.0,11.372549019607844,26179170322994042584814
terracota,#cb6843,203,104,67,16.323529411764707,66.9950738916256,79.6078431372549,22181963742849
ugly blue,#31668a,49,102,138,204.2696629213484,64.4927536231884,54.11764705882353,23344017650341
clear blue,#247afd,36,122,253,216.22119815668205,85.7707509881423,99.2156862745098,118920763749029
creme,#ffffb6,255,255,182,60.0,28.627450980392155,100.0,3741093
foam green,#90fda9,144,253,169,133.76146788990826,43.08300395256917,99.2156862745098,227648239899822
grey/green,#86a17d,134,161,125,105.0,22.36024844720497,63.13725490196078,266281504281774
light gold,#fddc5c,253,220,92,47.70186335403727,63.63636363636363,99.2156862745098,432357880610180
seafoam blue,#78d1b6,120,209,182,161.79775280898878,42.58373205741627,81.96078431372548,690218941273944741
topaz,#13bbaf,19,187,175,175.71428571428572,89.83957219251337,73.33333333333333,21479482
violet pink,#fb5ffc,251,95,252,299.61783439490443,62.3015873015873,98.82352941176472,25103368362403275
wintergreen,#20f986,32,249,134,148.20276497695852,87.14859437751004,97.6470588235294,26228443544360110
yellow tan,#ffe36e,255,227,110,48.41379310344827,56.86274509803921,100.0,885532590559278
dark fuchsia,#9d0759,157,7,89,327.2,95.54140127388536,61.5686274509804,145887539250875681
indigo blue,#3a18b1,58,24,177,253.3333333333333,86.4406779661017,69.41176470588235,10630395706028709
light yellowish green,#c2ff89,194,255,137,91.01694915254237,46.27450980392157,100.0,15577334340935652596011842999470
pale magenta,#d767ad,215,103,173,322.5,52.093023255813954,84.31372549019608,578015407025339009
rich purple,#720058,114,0,88,313.6842105263158,100.0,44.70588235294118,20586463856509317
sunflower yellow,#ffda03,255,218,3,51.19047619047619,98.82352941176472,100.0,743116005843795696824823
green/blue,#01c08d,1,192,141,163.97905759162305,99.47916666666666,75.29411764705883,266259483669157
leather,#ac7434,172,116,52,32.0,69.76744186046511,67.45098039215686,13054386354
racing green,#014600,1,70,0,119.14285714285714,100.0,27.450980392156865,649760184536208558
vivid purple,#9900fa,153,0,250,276.72,100.0,98.0392156862745,803550755580100997
dark royal blue,#02066f,2,6,111,237.7981651376147,98.1981981981982,43.52941176470589,4780443302536274850469
hazel,#8e7618,142,118,24,47.79661016949152,83.09859154929578,55.68627450980392,8448172
muted pink,#d1768f,209,118,143,343.5164835164835,43.54066985645933,81.96078431372548,481179311023563
booger green,#96b403,150,180,3,70.16949152542372,98.33333333333334,70.58823529411765,89481746943906990
canary,#fdff63,253,255,99,60.76923076923077,61.1764705882353,100.0,102172249
cool grey,#95a3a6,149,163,166,190.5882352941177,10.240963855421684,65.09803921568627,3830471444665
dark taupe,#7f684e,127,104,78,31.836734693877546,38.582677165354326,49.80392156862745,142468314093061
darkish purple,#751973,117,25,115,301.30434782608694,78.63247863247864,45.88235294117647,149388115197319266693
