Color Name, Hex Code,R,G,B,H,S,V,Name Code
light periwinkle,#c1c6fc,193,198,252,234.9152542372881,23.41269841269842,98.82352941176472,464240739653025447488901
seaweed green,#35ad6b,53,173,107,147.0,69.36416184971098,67.84313725490196,22087593387756164270
sunshine yellow,#fffd37,255,253,55,59.4,78.43137254901961,100.0,23222838832391093891575
ugly purple,#a442a0,164,66,160,302.44897959183675,59.7560975609756,64.31372549019608,23904274553061765
medium pink,#f36196,243,97,150,338.2191780821918,60.08230452674898,95.2941176470588,14817350950331851
puke brown,#947706,148,119,6,47.74647887323943,95.94594594594594,58.03921568627452,586424032771822
very light pink,#fff4f2,255,244,242,9.23076923076932,5.098039215686279,100.0,26179170612883627713995
viridian,#1e9167,30,145,103,158.08695652173913,79.31034482758619,56.86274509803921,766191477806
bile,#b5c306,181,195,6,64.44444444444444,96.92307692307692,76.47058823529412,75141
faded yellow,#feff7f,254,255,127,60.46875,50.19607843137255,100.0,217445087562838519
very pale green,#cffdbc,207,253,188,102.46153846153848,25.69169960474308,99.2156862745098,26179170744993912001710
vibrant green,#0add08,10,221,8,119.43661971830988,96.38009049773756,86.66666666666667,25691418996069962926
bright lime,#87fd05,135,253,5,88.54838709677419,98.02371541501977,99.2156862745098,2895263926986149
spearmint,#1ef876,30,248,118,144.22018348623854,87.90322580645162,97.25490196078432,21445898315220
light aquamarine,#7bfdc7,123,253,199,155.0769230769231,51.38339920948616,99.2156862745098,464240739138548151166405
light sage,#bcecac,188,236,172,105.0,27.11864406779661,92.54901960784314,432357880988901
yellowgreen,#bbf90f,187,249,15,75.8974358974359,93.97590361445783,97.6470588235294,28337042873717934
baby poo,#ab9004,171,144,4,50.2994011976048,97.66081871345028,67.05882352941175,69887541743
dark seafoam,#1fb57a,31,181,122,156.39999999999998,82.87292817679558,70.98039215686275,145887552670481453
deep teal,#00555a,0,85,90,183.3333333333333,100.0,35.294117647058826,4575782900780
heather,#a484ac,164,132,172,288.0,23.25581395348837,67.45098039215686,8759419058
rust orange,#c45508,196,85,8,24.574468085106385,95.91836734693877,76.86274509803923,21026680787220709
dirty blue,#3f829d,63,130,157,197.2340425531915,59.87261146496815,61.5686274509804,151273913528997
fern green,#548d44,84,141,68,106.84931506849315,51.77304964539008,55.294117647058826,217238312916142
bright lilac,#c95efb,201,94,251,280.89171974522293,62.54980079681275,98.4313725490196,92648445663555619
weird green,#3ae57f,58,229,127,144.21052631578948,74.67248908296943,89.80392156862746,26082139107300526
peacock blue,#016795,1,103,149,198.64864864864865,99.32885906040268,58.43137254901961,582129253762544293
avocado green,#87a922,135,169,34,75.1111111111111,79.88165680473374,66.27450980392156,1962550344814236846
faded orange,#f0944d,240,148,77,26.134969325153385,67.91666666666666,94.11764705882352,217445087240567013
grape purple,#5d1451,93,20,81,309.86301369863014,78.49462365591397,36.47058823529412,272520758584492421
hot green,#25ff29,37,255,41,121.10091743119266,85.49019607843137,100.0,9333978502318
lime yellow,#d0fe1d,208,254,29,72.26666666666667,88.58267716535433,99.6078431372549,13841956737528311
mango,#ffa62b,255,166,43,34.81132075471698,83.13725490196077,100.0,13678831
shamrock,#01b44c,1,180,76,145.13966480446928,99.44444444444444,70.58823529411765,661472754795
bubblegum,#ff6cb5,255,108,181,330.2040816326531,57.647058823529406,100.0,2922805108397
purplish brown,#6b4247,107,66,71,352.6829268292683,38.31775700934579,41.96078431372549,615174127470804287214
vomit yellow,#c7c10c,199,193,12,58.07486631016042,93.96984924623116,78.03921568627452,809990045713183223
pale cyan,#b7fffa,183,255,250,175.83333333333331,28.23529411764705,100.0,17639630038062
key lime,#aeff6e,174,255,110,93.51724137931036,56.86274509803921,100.0,384196552101
tomato red,#ec2d01,236,45,1,11.23404255319149,99.57627118644068,92.54901960784314,720628554352804
lightgreen,#76ff7b,118,255,123,122.1897810218978,53.72549019607843,100.0,432357856842926
merlot,#730039,115,0,57,330.2608695652174,100.0,45.09803921568628,442053108
night blue,#040348,4,3,72,240.8695652173913,95.83333333333331,28.23529411764705,502726624621221
purpleish pink,#df4ec8,223,78,200,309.51724137931035,65.02242152466367,87.45098039215686,615174122740262643147
apple,#6ecb3c,110,203,60,99.02097902097904,70.44334975369459,79.6078431372549,1589637
baby poop green,#8f9805,143,152,5,63.67346938775509,96.71052631578948,59.6078431372549,2401317649490353132718
green apple,#5edc1f,94,220,31,100.0,85.9090909090909,86.27450980392157,8520303442936197
heliotrope,#d94ff5,217,79,245,289.8795180722892,67.75510204081633,96.07843137254902,287395040280069
yellow/green,#c8fd3d,200,253,61,76.5625,75.8893280632411,99.2156862745098,906785372753171630
almost black,#070d0d,7,13,13,180.0,46.15384615384615,5.098039215686274,50014160731636843
cool blue,#4984b8,73,132,184,208.1081081081081,60.32608695652174,72.15686274509804,3830471275173
leafy green,#51b73b,81,183,59,109.35483870967742,67.75956284153006,71.76470588235294,13688054270727342
mustard brown,#ac7e04,172,126,4,43.57142857142857,97.67441860465117,67.45098039215686,15766681806250262254
dusk,#4e5481,78,84,129,232.94117647058823,39.53488372093023,50.588235294117645,153195
dull brown,#876e4b,135,110,75,35.0,44.44444444444444,52.94117647058824,164253443636974
frog green,#58bc08,88,188,8,93.33333333333331,95.74468085106383,73.72549019607844,231421368669358
vivid green,#2fef10,47,239,16,111.65919282511211,93.30543933054392,93.72549019607844,25110961102329006
bright light green,#2dfe54,45,254,84,131.19617224880383,82.28346456692913,99.6078431372549,99480511037545862898717870
fluro green,#0aff02,10,255,2,118.10276679841895,99.2156862745098,100.0,7201337246291118
kiwi,#9cef43,156,239,67,88.95348837209302,71.96652719665273,93.72549019607844,370409
seaweed,#18d17b,24,209,123,152.1081081081081,88.51674641148325,81.96078431372548,20570674340
navy green,#35530a,53,83,10,84.65753424657534,87.95180722891565,32.549019607843135,494464493229230
ultramarine blue,#1805db,24,5,219,245.3271028037384,97.71689497716896,85.88235294117646,808283341641536495497893
iris,#6258c4,98,88,196,245.5555555555556,55.102040816326536,76.86274509803923,313651
pastel orange,#ff964f,255,150,79,24.204545454545457,69.01960784313725,100.0,18504874599009794277
yellowish orange,#ffab0f,255,171,15,38.99999999999999,94.11764705882352,100.0,950833378258851234625765
perrywinkle,#8f8ce7,143,140,231,241.978021978022,39.39393939393938,90.58823529411764,18210757679721861
tealish,#24bca8,36,188,168,172.10526315789474,80.85106382978724,73.72549019607844,21644060264
dark plum,#3f012c,63,1,44,318.38709677419354,98.41269841269842,24.705882352941178,4452134695597
pear,#cbf85f,203,248,95,77.64705882352942,61.693548387096776,97.25490196078432,529458
pinkish orange,#ff724c,255,114,76,12.737430167597768,70.19607843137254,100.0,601189229815090165989
midnight purple,#280137,40,1,55,283.3333333333333,98.1818181818182,21.5686274509804,15684858940735637504389
light urple,#b36ff6,179,111,246,270.2222222222222,54.87804878048781,96.47058823529412,13835452194308485
dark mint,#48c072,72,192,114,141.0,62.5,75.29411764705883,4452134594004
greenish tan,#bccb7a,188,203,122,71.1111111111111,39.90147783251231,79.6078431372549,272649688221437998
light burgundy,#a8415b,168,65,91,344.8543689320388,61.30952380952381,65.88235294117646,453360096853549037721
turquoise blue,#06b1c4,6,177,196,186.0,96.93877551020408,76.86274509803923,762749528884209857189
ugly pink,#cd7584,205,117,132,349.77272727272725,42.926829268292686,80.3921568627451,23344018105803
sandy,#f1da7a,241,218,122,48.40336134453781,49.377593360995846,94.50980392156862,19970201
electric pink,#ff0490,255,4,144,326.53386454183266,98.4313725490196,100.0,6202710758416459211
muted purple,#805b87,128,91,135,290.45454545454544,32.59259259259259,52.94117647058824,492727614500848005
mid green,#50a747,80,167,71,114.375,57.48502994011976,65.49019607843137,14608198341806
greyish,#a8a495,168,164,149,47.36842105263162,11.309523809523805,65.88235294117646,8126244456
neon yellow,#cfff04,207,255,4,71.47410358565736,98.4313725490196,100.0,15955527323759095
banana,#ffff7e,255,255,126,60.0,50.588235294117645,100.0,68617665
carnation pink,#ff7fa7,255,127,167,341.25,50.19607843137255,100.0,112497724392351475147
tomato,#ef4026,239,64,38,7.761194029850746,84.10041841004184,93.72549019607844,687244943
sea,#3c9992,60,153,146,175.48387096774195,60.78431372549019,60.0,19617
muddy brown,#886806,136,104,6,45.230769230769226,95.58823529411764,53.333333333333336,15380133941165806
turquoise green,#04f489,4,244,137,153.25,98.36065573770492,95.68627450980392,24407984924294720853166
buff,#fef69e,254,246,158,55.0,37.79527559055118,99.6078431372549,87238
fawn,#cfaf7b,207,175,123,37.142857142857146,40.57971014492753,81.17647058823529,198382
muted blue,#3b719f,59,113,159,207.6,62.893081761006286,62.35294117647059,481179310568101
pale rose,#fdc1c5,253,193,197,355.99999999999994,23.71541501976285,99.2156862745098,17639630519909
dark mint green,#20c073,32,192,115,151.125,83.33333333333334,75.29411764705883,4780443119660368991406
amethyst,#9b5fc0,155,95,192,277.11340206185565,50.520833333333336,75.29411764705883,48507414132
blue/green,#0f9b8e,15,155,142,174.42857142857144,90.32258064516128,60.78431372549019,84290855048366
chestnut,#742802,116,40,2,20.000000000000004,98.27586206896552,45.490196078431374,111857515188
sick green,#9db92c,157,185,44,71.91489361702126,76.21621621621622,72.54901960784314,678514579281070
pea,#a4bf20,164,191,32,70.18867924528301,83.24607329842932,74.90196078431373,16545
rusty orange,#cd5909,205,89,9,24.489795918367346,95.609756097561,80.3921568627451,672853629415241957
stone,#ada587,173,165,135,47.36842105263158,21.965317919075147,67.84313725490196,20594117
rose red,#be013c,190,1,60,341.26984126984127,99.47368421052632,74.50980392156863,635225196708
pale aqua,#b8ffeb,184,255,235,163.09859154929578,27.84313725490196,100.0,17639629964961
deep orange,#dc4d01,220,77,1,20.821917808219176,99.54545454545456,86.27450980392157,4685601536260325
earth,#a2653e,162,101,62,23.4,61.72839506172839,63.52941176470588,5294728
mossy green,#638b27,99,139,39,84.0,71.94244604316546,54.50980392156863,15186035784357038
grassy green,#419c03,65,156,3,95.68627450980392,98.07692307692308,61.1764705882353,272524533242074286
pale lime green,#b1ff65,177,255,101,90.3896103896104,60.392156862745104,100.0,18940408831224711812270
light grey blue,#9dbcd4,157,188,212,206.1818181818182,25.943396226415093,83.13725490196079,14507523104694702518949
pale grey,#fdfdfe,253,253,254,240.0,0.3937007874015734,99.6078431372549,17639630162105
asparagus,#77ab56,119,171,86,96.70588235294116,49.70760233918128,67.05882352941175,1769578995379
blueberry,#464196,70,65,150,243.52941176470583,56.66666666666668,58.82352941176471,2634058746457
purple red,#990147,153,1,71,332.3684210526316,99.34640522875816,60.0,586675761662116
pale lime,#befd73,190,253,115,87.3913043478261,54.54545454545456,99.2156862745098,17639630316965
greenish teal,#32bf84,50,191,132,154.8936170212766,73.82198952879581,74.90196078431373,8724790023086019628
caramel,#af6f09,175,111,9,36.86746987951807,94.85714285714286,68.62745098039215,3273700524
deep magenta,#a0025c,160,2,92,325.8227848101266,98.75,62.74509803921568,149939246448425601
light peach,#ffd8b1,255,216,177,30.0,30.58823529411765,100.0,13835452188623976
milk chocolate,#7f4e1e,127,78,30,29.69072164948454,76.37795275590551,49.80392156862745,490437429041911170693
ocher,#bf9b0c,191,155,12,47.93296089385476,93.717277486911,74.90196078431373,15835314
off green,#6ba353,107,163,83,102.0,49.07975460122699,63.921568627450974,16706289865902
purply pink,#f075e6,240,117,230,304.8780487804878,51.25000000000001,94.11764705882352,18773625044215243
lightblue,#7bc8f6,123,200,246,202.4390243902439,50.0,96.47058823529412,13511182856869
dusky blue,#475f94,71,95,148,221.2987012987013,52.02702702702703,58.03921568627452,164492749124261
golden,#f5bf03,245,191,3,46.61157024793389,98.77551020408164,96.07843137254902,251007150
light beige,#fffeb6,255,254,182,59.17808219178082,28.627450980392155,100.0,13835452173952229
butter yellow,#fffd74,255,253,116,59.13669064748202,54.50980392156863,100.0,3085675581280760311
dusky purple,#895b7b,137,91,123,318.2608695652174,33.57664233576642,53.72549019607843,168440575582355845
french blue,#436bad,67,107,173,217.3584905660377,61.27167630057804,67.84313725490196,7394700254327461
ugly yellow,#d0c101,208,193,1,55.65217391304348,99.51923076923076,81.56862745098039,23904274838073847
greeny yellow,#c6f808,198,248,8,72.5,96.7741935483871,97.25490196078432,8724790585196950007
orangish red,#f43605,244,54,5,12.301255230125522,97.95081967213116,95.68627450980392,560748981971273892
shamrock green,#02c14d,2,193,77,143.56020942408378,98.9637305699482,75.68627450980392,710250962260902614190
orangish brown,#b25f03,178,95,3,31.54285714285714,98.31460674157304,69.80392156862744,574206957538568126190
tree green,#2a7e19,42,126,25,109.9009900990099,80.15873015873017,49.41176470588236,723656833045678
deep violet,#490648,73,6,72,300.8955223880597,91.7808219178082,28.627450980392155,4685601762160820
gunmetal,#536267,83,98,103,195.0,19.41747572815534,40.3921568627451,263550324780
blue/purple,#5a06ef,90,6,239,261.6309012875537,97.48953974895396,93.72549019607844,2697307667120517
cherry,#cf0234,207,2,52,345.3658536585366,99.03381642512078,81.17647058823529,109234777
sandy brown,#c4a661,196,166,97,41.81818181818181,50.51020408163266,76.86274509803923,21442841056722670
warm grey,#978a84,151,138,132,18.947368421052573,12.582781456953636,59.21568627450981,25342922442937
dark indigo,#1f0954,31,9,84,257.6,89.28571428571429,32.94117647058823,4558985694946543
midnight,#03012d,3,1,45,242.72727272727275,97.77777777777776,17.647058823529413,456489475348
bluey green,#2bb179,43,177,121,154.92537313432837,75.70621468926552,69.41176470588235,2697301679740078
grey pink,#c3909b,195,144,155,347.05882352941177,26.15384615384615,76.47058823529412,8321296246219
soft purple,#a66fb5,166,111,181,287.1428571428571,38.67403314917127,70.98039215686275,21927180847628677
blood,#770001,119,0,1,359.4957983193277,100.0,46.66666666666666,2506212
brown red,#922b05,146,43,5,16.170212765957455,96.57534246575342,57.25490196078431,2834392107172
medium grey,#7d7f7c,125,127,124,100.0000000000001,2.362204724409452,49.80392156862745,14817350950045881
berry,#990f4b,153,15,75,333.9130434782609,90.19607843137256,60.0,2280025
poo,#8f7303,143,115,3,47.99999999999999,97.9020979020979,56.07843137254902,16879
purpley pink,#c83cb9,200,60,185,306.42857142857144,70.0,78.43137254901961,600755979787183563
light salmon,#fea993,254,169,147,12.336448598130843,42.12598425196851,99.6078431372549,442734470132807150
snot,#acbb0d,172,187,13,65.17241379310344,93.048128342246,73.33333333333333,637428
easter purple,#c071fe,192,113,254,273.6170212765957,55.51181102362205,99.6078431372549,5822738254530167173
light yellow green,#ccfd7f,204,253,127,83.33333333333333,49.80237154150198,99.2156862745098,475382517728749164389012654
dark navy blue,#00022e,0,2,46,237.3913043478261,100.0,18.03921568627451,149388848322777789093
drab,#828344,130,131,68,60.95238095238095,48.09160305343511,51.37254901960784,149538
light rose,#ffc5cb,255,197,203,353.7931034482759,22.745098039215684,100.0,432357880970853
rouge,#ab1239,171,18,57,344.7058823529412,89.47368421052632,67.05882352941175,19387621
purplish red,#b0054b,176,5,75,335.43859649122805,97.1590909090909,69.01960784313725,600755983858223268
slime green,#99cc04,153,204,4,75.30000000000003,98.03921568627452,80.0,21824659359601838
baby poop,#937c00,147,124,0,50.61224489795919,100.0,57.647058823529406,2236401335792
irish green,#019529,1,149,41,136.2162162162162,99.32885906040268,58.43137254901961,10776975903364270
pink/purple,#ef1de7,239,29,231,302.2857142857143,87.86610878661088,93.72549019607844,18346862823686533
dark navy,#000435,0,4,53,235.4716981132076,100.0,20.7843137254902,4452134618841
greeny blue,#42b395,66,179,149,164.070796460177,63.12849162011173,70.19607843137254,8520303305110181
light plum,#9d5783,157,87,131,322.28571428571433,44.5859872611465,61.5686274509804,432357880902317
pinkish grey,#c8aca9,200,172,169,5.80645161290326,15.500000000000004,78.43137254901961,587098857241036985
dirty orange,#c87606,200,118,6,34.639175257731964,97.0,78.43137254901961,154904487895546085
rust red,#aa2704,170,39,4,12.650602409638555,97.6470588235294,66.66666666666666,641683376292
pale lilac,#e4cbff,228,203,255,268.84615384615387,20.392156862745104,100.0,564468170141731
orangey red,#fa4224,250,66,36,8.411214953271031,85.6,98.0392156862745,17523405559384228
primary blue,#0804f9,8,4,249,240.9795918367347,98.39357429718876,97.6470588235294,597057958184039077
kermit green,#5cb200,92,178,0,88.98876404494382,100.0,69.80392156862744,402594210818626734
brownish purple,#76424e,118,66,78,346.15384615384613,44.06779661016949,46.27450980392157,3043404613445320524165
murky green,#6c7a0e,108,122,14,67.77777777777779,88.52459016393443,47.84313725490196,15395767627355310
wheat,#fbdd7e,251,221,126,45.60000000000001,49.800796812749,98.4313725490196,24384564
very dark purple,#2a0134,42,1,52,288.2352941176471,98.07692307692308,20.392156862745097,837733450335809835712901
bottle green,#044a05,4,74,5,120.85714285714286,94.5945945945946,29.01960784313726,89672189015037102
watermelon,#fd4659,253,70,89,353.7704918032787,72.33201581027667,99.2156862745098,811033250935278
deep sky blue,#0d75f8,13,117,248,213.44680851063828,94.75806451612902,97.25490196078432,4798056103875261093
fire engine red,#fe0002,254,0,2,359.5275590551181,100.0,99.6078431372549,7436557817262144178340
yellow ochre,#cb9d06,203,157,6,45.98984771573605,97.04433497536944,79.6078431372549,906785372727517765
pumpkin orange,#fb7d07,251,125,7,29.01639344262295,97.21115537848604,98.4313725490196,614993948152673908965
pale olive,#b9cc81,185,204,129,75.2,36.76470588235295,80.0,564468173383365
light lilac,#edc8ff,237,200,255,280.3636363636364,21.5686274509804,100.0,13835452184571939
lightish green,#61e160,97,225,96,119.53488372093022,57.333333333333336,88.23529411764706,453360074334364308654
carolina blue,#8ab8fe,138,184,254,216.20689655172413,45.66929133858268,99.6078431372549,3515600793218658981
mulberry,#920a4e,146,10,78,330.0,93.15068493150686,57.25490196078431,469630110297
shocking pink,#fe02a2,254,2,162,321.9047619047619,99.21259842519686,99.6078431372549,22210745434565518795
auburn,#9a3001,154,48,1,18.43137254901961,99.35064935064936,60.3921568627451,55662158
bright lime green,#65fe08,101,254,8,97.31707317073172,96.8503937007874,99.6078431372549,3108765969923511464563886
celadon,#befdb7,190,253,183,114.0,27.66798418972332,99.2156862745098,3401617902
pinkish brown,#b17261,177,114,97,12.750000000000009,45.19774011299435,69.41176470588235,18787163431707950830
poo brown,#885f01,136,95,1,41.77777777777778,99.26470588235294,53.333333333333336,18124697583342
bright sky blue,#02ccfe,2,204,254,191.90476190476195,99.21259842519686,99.6078431372549,3035904267746522772133
celery,#c1fd95,193,253,149,94.61538461538464,41.10671936758893,99.2156862745098,106305113
dirt brown,#836539,131,101,57,35.67567567567567,56.48854961832061,51.37254901960784,151274052468462
strawberry,#fb2943,251,41,67,352.5714285714286,83.66533864541833,98.4313725490196,691113625307737
dark lime,#84b701,132,183,1,76.8131868131868,99.4535519125683,71.76470588235294,4452134561189
copper,#b66325,182,99,37,25.655172413793103,79.67032967032966,71.37254901960785,116932786
medium brown,#7f5112,127,81,18,34.6788990825688,85.8267716535433,49.80392156862745,474155230396235502
muted green,#5fa052,95,160,82,110.0,48.74999999999999,62.74509803921568,15397737943602350
robin's egg,#6dedfd,109,237,253,186.66666666666663,56.91699604743082,99.2156862745098,20796487218697447
bright aqua,#0bf9ea,11,249,234,176.218487394958,95.58232931726909,97.6470588235294,2895263926634145
bright lavender,#c760ff,199,96,255,278.8679245283019,62.35294117647059,100.0,3035904267495140692146
ivory,#ffffcb,255,255,203,60.0,20.392156862745104,100.0,10174041
very light purple,#f6cefc,246,206,252,292.17391304347825,18.253968253968257,98.82352941176472,26807470707592834791850373
light navy,#155084,21,80,132,208.10810810810813,84.0909090909091,51.76470588235295,432357880825561
pink red,#f5054f,245,5,79,341.5,97.95918367346938,96.07843137254902,559901788324
olive brown,#645403,100,84,3,50.103092783505154,97.0,39.21568627450981,17321368964644590
poop brown,#7a5901,122,89,1,43.63636363636363,99.18032786885246,47.84313725490196,579976213118702
mustard green,#a8b504,168,181,4,64.40677966101696,97.79005524861878,70.98039215686275,15766681806255494318
ocean green,#3d9973,61,153,115,155.2173913043478,60.130718954248366,60.0,16999599683736750
very dark blue,#000133,0,1,51,238.8235294117647,100.0,20.0,818099072593563824805
dusty green,#76a973,118,169,115,116.66666666666669,31.95266272189349,66.27450980392156,5264077215044782
light navy blue,#2e5a88,46,90,136,210.66666666666663,66.17647058823529,53.333333333333336,14507523111825421972133
minty green,#0bf77d,11,247,125,148.98305084745763,95.54655870445345,96.8627450980392,14969466353423534
adobe,#bd6c48,189,108,72,18.46153846153846,61.90476190476191,74.11764705882354,1195077
barney,#ac1db8,172,29,184,295.35483870967744,84.23913043478261,72.15686274509804,68761785
jade green,#2baf6a,43,175,106,148.63636363636363,75.42857142857142,68.62745098039215,353087054746798
bright light blue,#26f7fd,38,247,253,181.6744186046512,84.98023715415019,99.2156862745098,3108765969923308215415461
light lime,#aefd6c,174,253,108,92.6896551724138,57.31225296442687,99.2156862745098,432357880767909
dark khaki,#9b8f55,155,143,85,49.71428571428572,45.16129032258064,60.78431372549019,142468304864617
orange yellow,#ffad01,255,173,1,40.62992125984252,99.6078431372549,100.0,17943967297996993015
ocre,#c69c04,198,156,4,47.010309278350526,97.97979797979798,77.64705882352942,495173
maize,#f4d054,244,208,84,46.5,65.57377049180327,95.68627450980392,13674309
faded pink,#de9dac,222,157,172,346.15384615384613,29.27927927927928,87.05882352941177,212348718032331
british racing green,#05480d,5,72,13,127.1641791044776,93.05555555555556,28.23529411764705,101883795145855359074902283438
sandstone,#c9ae74,201,174,116,40.941176470588246,42.288557213930346,78.82352941176471,20940267863493
mud brown,#60460f,96,70,15,40.74074074074075,84.375,37.64705882352941,15020509970158
light sea green,#98f6b0,152,246,176,135.31914893617022,38.21138211382114,96.47058823529412,14507523117438014657710
robin egg blue,#8af1fe,138,241,254,186.7241379310345,45.66929133858268,99.6078431372549,681459325661985452709
aqua marine,#2ee8bb,46,232,187,165.48387096774192,80.17241379310344,90.98039215686276,1747190986384837
dark sea green,#11875d,17,135,93,158.64406779661016,87.4074074074074,52.94117647058824,149388853935370474670
soft pink,#fdb0c0,253,176,192,347.53246753246754,30.434782608695656,99.2156862745098,21413262534091
orangey brown,#b16002,177,96,2,32.22857142857143,98.87005649717514,69.41176470588235,17943967292793110254
cherry red,#f7022a,247,2,42,350.2040816326531,99.19028340080972,96.8627450980392,114540966529188
burnt yellow,#d5ab09,213,171,9,47.647058823529406,95.77464788732397,83.52941176470588,96350924193542647
brownish grey,#86775f,134,119,95,36.92307692307692,29.1044776119403,52.54901960784314,2972074817817397433
camel,#c69f59,198,159,89,38.53211009174312,55.05050505050505,77.64705882352942,3191980
purplish grey,#7a687f,122,104,127,286.95652173913044,18.11023622047244,49.80392156862745,19224191483462797497
marine,#042e60,4,46,96,212.608695652174,95.83333333333334,37.64705882352941,437855685
greyish pink,#c88d94,200,141,148,352.8813559322034,29.5,78.43137254901961,272671517046220235
pale turquoise,#a5fbd5,165,251,213,153.48837209302326,34.262948207171306,98.4313725490196,591887785189944305253
pastel yellow,#fffe71,255,254,113,59.57746478873239,55.68627450980392,100.0,18504874599332065783
bluey purple,#6241c7,98,65,199,254.77611940298507,67.33668341708542,78.03921568627452,86313654057255301
canary yellow,#fffe40,255,254,64,59.68586387434555,74.90196078431373,100.0,3510611777166914039
faded red,#d3494e,211,73,78,357.8260869565217,65.40284360189574,82.74509803921568,6635897440420
sepia,#985e2b,152,94,43,28.073394495412845,71.71052631578947,59.6078431372549,20103457
coffee,#a6814c,166,129,76,35.33333333333333,54.21686746987952,65.09803921568627,116594853
bright magenta,#ff08e8,255,8,232,305.587044534413,96.8627450980392,100.0,94872008360281160321
mocha,#9d7651,157,118,81,29.21052631578948,48.40764331210192,61.5686274509804,14126337
ecru,#feffca,254,255,202,61.1320754716981,20.7843137254902,100.0,167509
purpleish,#98568d,152,86,141,309.99999999999994,43.42105263157895,59.6078431372549,18333617530472
cranberry,#9e003a,158,0,58,337.9746835443038,100.0,61.96078431372549,3918555957849
darkish green,#287c37,40,124,55,130.71428571428572,67.74193548387096,48.62745098039216,4668378599906677934
brown orange,#b96902,185,105,2,33.77049180327869,98.91891891891892,72.54901960784314,92877360480696549
dusky rose,#ba6873,186,104,115,351.9512195121952,44.08602150537634,72.94117647058823,164492749651557
melon,#ff7855,255,120,85,12.352941176470589,66.66666666666667,100.0,13808110
sickly green,#94b21c,148,178,28,71.99999999999999,84.26966292134831,69.80392156862744,694798330441045166
silver,#c5c9c7,197,201,199,150.0,1.990049751243774,78.82352941176471,647387314
purply blue,#661aee,102,26,238,261.5094339622641,89.07563025210085,93.33333333333331,18773625043759781
purpleish blue,#6140ef,97,64,239,251.3142857142857,73.22175732217573,93.72549019607844,615174122740262187685
hospital green,#9be5aa,155,229,170,132.16216216216216,32.31441048034935,89.80392156862746,313144627988165891246
shit brown,#7b5804,123,88,4,42.35294117647059,96.7479674796748,48.23529411764706,677630884527854
mid blue,#276ab3,39,106,179,211.28571428571428,78.2122905027933,70.19607843137254,456506028709
amber,#feb308,254,179,8,41.70731707317073,96.8503937007874,99.6078431372549,1476786
easter green,#8cfd7e,140,253,126,113.38582677165354,50.19762845849802,99.2156862745098,181960570444518574
soft blue,#6488ea,100,136,234,223.88059701492537,57.26495726495726,91.76470588235294,21413262078629
cerulean blue,#056eee,5,110,238,212.96137339055795,97.89915966386556,93.33333333333331,3659926936565658277
golden brown,#b27a01,178,122,1,41.01694915254237,99.438202247191,69.80392156862744,269516876087377646
bright turquoise,#0ffef9,15,254,249,178.74476987447702,94.09448818897636,99.6078431372549,97148936569323905328741
red pink,#fa2a55,250,42,85,347.59615384615387,83.2,98.0392156862745,624010208715
red purple,#820747,130,7,71,328.780487804878,94.6153846153846,50.98039215686274,638986466443653
greyish brown,#7a6a4f,122,106,79,37.674418604651166,35.24590163934426,47.84313725490196,8725488545464663790
vermillion,#f4320c,244,50,12,9.82758620689655,95.08196721311477,95.68627450980392,780186493003246
russet,#a13905,161,57,5,20.000000000000004,96.8944099378882,63.13725490196078,626642100
steel grey,#6f828a,111,130,138,197.77777777777777,19.56521739130434,54.11764705882353,690670904002745
lighter purple,#a55af4,165,90,244,269.2207792207792,63.114754098360656,95.68627450980392,453360069925125308805
bright violet,#ad0afd,173,10,253,280.2469135802469,96.04743083003952,99.2156862745098,2964750261569433780
prussian blue,#004577,0,69,119,205.21008403361347,100.0,46.66666666666666,19119596022697898661
slate green,#658d6d,101,141,109,131.99999999999997,28.368794326241144,55.294117647058826,21816103784748206
dirty pink,#ca7b80,202,123,128,356.2025316455696,39.1089108910891,79.2156862745098,151273913984459
dark blue green,#005249,0,82,73,173.41463414634146,100.0,32.15686274509804,4780442736155222938798
pine,#2b5d34,43,93,52,130.8,53.76344086021505,36.47058823529412,533957
yellowy green,#bff128,191,241,40,74.92537313432835,83.40248962655602,94.50980392156862,29017131922419684526
dark gold,#b59410,181,148,16,48.0,91.16022099447514,70.98039215686275,4452134403460
bluish,#2976bb,41,118,187,208.35616438356163,78.07486631016043,73.33333333333333,80389736
darkish blue,#014182,1,65,130,210.2325581395349,99.23076923076924,50.98039215686274,145886831246914213
dull red,#bb3f3f,187,63,63,0.0,66.31016042780749,73.33333333333333,160403769508
pinky red,#fc2647,252,38,71,350.7476635514019,84.92063492063492,98.82352941176472,17916852390052
bronze,#a87900,168,121,0,43.21428571428572,100.0,65.88235294117646,86489925
pale teal,#82cbb2,130,203,178,159.45205479452054,35.960591133004925,79.6078431372549,17639630574636
military green,#667c3e,102,124,62,81.29032258064515,50.0,48.62745098039216,490434823554585924782
barbie pink,#fe46a5,254,70,165,329.0217391304348,72.44094488188976,99.6078431372549,2306853977990603
bubblegum pink,#fe83cc,254,131,204,324.390243902439,48.42519685039371,99.6078431372549,98073065258991756747
pea soup green,#94a617,148,166,23,67.55244755244755,86.144578313253,65.09803921568627,596130909411457176750
dark mustard,#a88905,168,137,5,48.58895705521472,97.02380952380952,65.88235294117646,145887546784220740
shit,#7f5f00,127,95,0,44.881889763779526,100.0,49.80392156862745,631092
